tanggal,bulan,tahun,komoditi,satuan,harga
23,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
26,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
27,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
28,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"150,000"
29,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
30,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
1,november,2018,Ayam Boiler,ekor,"36,600"
2,november,2018,Ayam Boiler,ekor,"36,400"
5,november,2018,Ayam Boiler,ekor,"36,000"
6,november,2018,Ayam Boiler,ekor,"36,000"
7,november,2018,Ayam Boiler,ekor,"36,400"
8,november,2018,Ayam Boiler,ekor,"35,500"
9,november,2018,Ayam Boiler,ekor,"36,200"
12,november,2018,Ayam Boiler,ekor,"35,800"
13,november,2018,Ayam Boiler,ekor,"36,800"
14,november,2018,Ayam Boiler,ekor,"36,000"
15,november,2018,Ayam Boiler,ekor,"36,660"
16,november,2018,Ayam Boiler,ekor,"36,860"
19,november,2018,Ayam Boiler,ekor,"36,860"
21,november,2018,Ayam Boiler,ekor,"37,060"
22,november,2018,Ayam Boiler,ekor,"35,860"
23,november,2018,Ayam Boiler,ekor,"35,060"
26,november,2018,Ayam Boiler,ekor,"35,660"
27,november,2018,Ayam Boiler,ekor,"35,660"
28,november,2018,Ayam Boiler,ekor,"36,260"
29,november,2018,Ayam Boiler,ekor,"38,260"
30,november,2018,Ayam Boiler,ekor,"37,560"
1,november,2018,Ayam Kampung,ekor,"89,575"
2,november,2018,Ayam Kampung,ekor,"89,575"
5,november,2018,Ayam Kampung,ekor,"89,575"
6,november,2018,Ayam Kampung,ekor,"89,575"
7,november,2018,Ayam Kampung,ekor,"92,700"
8,november,2018,Ayam Kampung,ekor,"92,700"
9,november,2018,Ayam Kampung,ekor,"92,075"
12,november,2018,Ayam Kampung,ekor,"85,825"
13,november,2018,Ayam Kampung,ekor,"81,675"
14,november,2018,Ayam Kampung,ekor,"81,675"
15,november,2018,Ayam Kampung,ekor,"82,075"
16,november,2018,Ayam Kampung,ekor,"82,075"
19,november,2018,Ayam Kampung,ekor,"81,450"
21,november,2018,Ayam Kampung,ekor,"81,450"
22,november,2018,Ayam Kampung,ekor,"81,450"
23,november,2018,Ayam Kampung,ekor,"83,950"
26,november,2018,Ayam Kampung,ekor,"83,950"
27,november,2018,Ayam Kampung,ekor,"83,950"
28,november,2018,Ayam Kampung,ekor,"88,950"
29,november,2018,Ayam Kampung,ekor,"82,075"
30,november,2018,Ayam Kampung,ekor,"84,575"
1,november,2018,Telur Ayam Ras,Kg,"21,600"
2,november,2018,Telur Ayam Ras,Kg,"21,700"
5,november,2018,Telur Ayam Ras,Kg,"22,000"
6,november,2018,Telur Ayam Ras,Kg,"22,000"
7,november,2018,Telur Ayam Ras,Kg,"22,200"
8,november,2018,Telur Ayam Ras,Kg,"22,200"
9,november,2018,Telur Ayam Ras,Kg,"21,950"
12,november,2018,Telur Ayam Ras,Kg,"22,000"
13,november,2018,Telur Ayam Ras,Kg,"23,000"
14,november,2018,Telur Ayam Ras,Kg,"23,300"
15,november,2018,Telur Ayam Ras,Kg,"22,140"
16,november,2018,Telur Ayam Ras,Kg,"22,640"
19,november,2018,Telur Ayam Ras,Kg,"22,740"
21,november,2018,Telur Ayam Ras,Kg,"23,140"
22,november,2018,Telur Ayam Ras,Kg,"23,340"
23,november,2018,Telur Ayam Ras,Kg,"23,340"
26,november,2018,Telur Ayam Ras,Kg,"23,340"
27,november,2018,Telur Ayam Ras,Kg,"23,040"
28,november,2018,Telur Ayam Ras,Kg,"23,240"
29,november,2018,Telur Ayam Ras,Kg,"23,340"
30,november,2018,Telur Ayam Ras,Kg,"23,440"
1,november,2018,Telur Ayam Kampung,butir,"2,260"
2,november,2018,Telur Ayam Kampung,butir,"2,210"
5,november,2018,Telur Ayam Kampung,butir,"2,260"
6,november,2018,Telur Ayam Kampung,butir,"2,260"
7,november,2018,Telur Ayam Kampung,butir,"2,260"
8,november,2018,Telur Ayam Kampung,butir,"2,260"
9,november,2018,Telur Ayam Kampung,butir,"2,220"
12,november,2018,Telur Ayam Kampung,butir,"2,320"
13,november,2018,Telur Ayam Kampung,butir,"2,250"
14,november,2018,Telur Ayam Kampung,butir,"2,260"
15,november,2018,Telur Ayam Kampung,butir,"2,300"
16,november,2018,Telur Ayam Kampung,butir,"2,300"
19,november,2018,Telur Ayam Kampung,butir,"2,300"
21,november,2018,Telur Ayam Kampung,butir,"2,150"
22,november,2018,Telur Ayam Kampung,butir,"2,250"
23,november,2018,Telur Ayam Kampung,butir,"2,200"
26,november,2018,Telur Ayam Kampung,butir,"2,200"
27,november,2018,Telur Ayam Kampung,butir,"2,200"
28,november,2018,Telur Ayam Kampung,butir,"2,250"
29,november,2018,Telur Ayam Kampung,butir,"2,200"
30,november,2018,Telur Ayam Kampung,butir,"2,180"
1,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
2,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
5,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
6,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
7,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
8,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,800"
9,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"12,300"
12,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,700"
13,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,460"
14,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,460"
15,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,660"
16,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
19,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,660"
21,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
22,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
23,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
26,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
27,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
28,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
29,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
30,november,2018,Susu Kental Manis Kaleng Merk Bendera,buah,"11,560"
1,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,360"
2,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,360"
5,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
6,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
7,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
8,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
9,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
12,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
13,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"9,580"
14,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"9,680"
15,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,000"
16,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,000"
19,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,500"
21,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,100"
22,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
23,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
26,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
27,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
28,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
29,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,260"
30,november,2018,Susu Kental Manis Kaleng Merk Indomilk,buah,"10,160"
1,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,325"
2,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
5,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
6,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
7,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
8,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
9,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
12,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
13,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,750"
14,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,750"
15,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
16,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
19,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
21,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,575"
22,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
23,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
26,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
27,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
28,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
29,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
30,november,2018,Susu Bubuk Kaleng Merk Bendera,buah,"44,500"
1,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,700"
2,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,950"
5,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,825"
6,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,825"
7,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,825"
8,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,825"
9,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,950"
12,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,950"
13,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"43,175"
14,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"43,300"
15,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
16,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
19,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
21,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
22,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
23,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
26,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
27,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
28,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
29,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
30,november,2018,Susu Bubuk Kaleng Merk Indomilk,buah,"42,800"
1,november,2018,Jagung Pipilan Kecil,Kg,"14,167"
2,november,2018,Jagung Pipilan Kecil,Kg,"14,167"
5,november,2018,Jagung Pipilan Kecil,Kg,"14,167"
6,november,2018,Jagung Pipilan Kecil,Kg,"14,167"
7,november,2018,Jagung Pipilan Kecil,Kg,"14,167"
8,november,2018,Jagung Pipilan Kecil,Kg,"13,500"
9,november,2018,Jagung Pipilan Kecil,Kg,"13,500"
12,november,2018,Jagung Pipilan Kecil,Kg,"13,500"
13,november,2018,Jagung Pipilan Kecil,Kg,"15,433"
14,november,2018,Jagung Pipilan Kecil,Kg,"15,433"
