TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
04/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;95000;;;;;;
04/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;80000;;;;;;
04/01/2018;Cabai Rawit Merah;Kg;61140;;;;;;
04/01/2018;Ayam Kampung;ekor;53825;;;;;;
04/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;43667;;;;;;
04/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42000;;;;;;
04/01/2018;Cabai Rawit Hijau;Kg;41400;;;;;;
04/01/2018;Cabai Merah Keriting;Kg;39340;;;;;;
04/01/2018;Cabai Merah Besar;Kg;39260;;;;;;
04/01/2018;Ayam Boiler;ekor;37440;;;;;;
04/01/2018;Ikan Kembung;Kg;35860;;;;;;
04/01/2018;Bawang Putih Impor (Kating);Kg;28660;;;;;;
04/01/2018;Bawang Merah (Medium);Kg;28400;;;;;;
04/01/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
04/01/2018;Telur Ayam Ras;Kg;26300;;;;;;
04/01/2018;Kacang Tanah;Kg;25600;;;;;;
04/01/2018;Kacang Hijau;Kg;22540;;;;;;
04/01/2018;Jagung Pipilan Kecil;Kg;16833;;;;;;
04/01/2018;Minyak Goreng Bimoli Botol;Liter;14240;;;;;;
04/01/2018;Gula Pasir;Kg;13390;;;;;;
04/01/2018;Garam Beryodium Halus;Kg;13060;;;;;;
04/01/2018;Minyak Goreng Curah;Liter;12575;;;;;;
04/01/2018;Kacang Kedelai Eks impor;Kg;12050;;;;;;
04/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11940;;;;;;
04/01/2018;Beras Medium;Kg;11490;;;;;;
04/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10600;;;;;;
04/01/2018;Tepung Terigu Segitiga Biru;Kg;9860;;;;;;
04/01/2018;Ketela Pohon;Kg;5060;;;;;;
04/01/2018;Kacang Kedelai Lokal;Kg;3333;;;;;;
04/01/2018;Garam Beryodium Bata;250 gr;3000;;;;;;
04/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2740;;;;;;
04/01/2018;Telur Ayam Kampung;butir;2100;;;;;;
05/01/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
05/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
05/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
05/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
05/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;102500;;;;;;
05/01/2018;Ikan Teri Asin;Kg;102000;;;;;;
05/01/2018;Ayam Kampung;ekor;78825;;;;;;
05/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;76667;;;;;;
05/01/2018;Cabai Rawit Merah;Kg;57340;;;;;;
05/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;43667;;;;;;
05/01/2018;Cabai Merah Keriting;Kg;42340;;;;;;
05/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42000;;;;;;
05/01/2018;Cabai Rawit Hijau;Kg;40400;;;;;;
05/01/2018;Cabai Merah Besar;Kg;40260;;;;;;
05/01/2018;Ayam Boiler;ekor;36940;;;;;;
05/01/2018;Ikan Kembung;Kg;35360;;;;;;
05/01/2018;Bawang Putih Impor (Kating);Kg;28960;;;;;;
05/01/2018;Bawang Merah (Medium);Kg;27900;;;;;;
05/01/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
05/01/2018;Telur Ayam Ras;Kg;26450;;;;;;
05/01/2018;Kacang Tanah;Kg;25700;;;;;;
05/01/2018;Kacang Hijau;Kg;23200;;;;;;
05/01/2018;Jagung Pipilan Kecil;Kg;15167;;;;;;
05/01/2018;Minyak Goreng Bimoli Botol;Liter;14040;;;;;;
05/01/2018;Gula Pasir;Kg;13640;;;;;;
05/01/2018;Kacang Kedelai Eks impor;Kg;12800;;;;;;
05/01/2018;Minyak Goreng Curah;Liter;12200;;;;;;
05/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11940;;;;;;
05/01/2018;Beras Medium;Kg;11740;;;;;;
05/01/2018;Garam Beryodium Halus;Kg;11260;;;;;;
05/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
05/01/2018;Tepung Terigu Segitiga Biru;Kg;9610;;;;;;
05/01/2018;Ketela Pohon;Kg;4960;;;;;;
05/01/2018;Kacang Kedelai Lokal;Kg;3333;;;;;;
05/01/2018;Garam Beryodium Bata;250 gr;3100;;;;;;
05/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2800;;;;;;
05/01/2018;Telur Ayam Kampung;butir;2120;;;;;;
08/01/2018;Daging Sapi Lokal Has Dalam;Kg;146667;;;;;;
08/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
08/01/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;120000;;;;;;
08/01/2018;Daging Sapi Lokal Paha Belakang;Kg;119660;;;;;;
08/01/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;102500;;;;;;
08/01/2018;Ikan Teri Asin;Kg;102000;;;;;;
08/01/2018;Ayam Kampung;ekor;77575;;;;;;
08/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;76667;;;;;;
08/01/2018;Cabai Rawit Merah;Kg;57340;;;;;;
08/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;43667;;;;;;
08/01/2018;Cabai Merah Keriting;Kg;42340;;;;;;
08/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42000;;;;;;
08/01/2018;Cabai Rawit Hijau;Kg;40400;;;;;;
08/01/2018;Cabai Merah Besar;Kg;40260;;;;;;
08/01/2018;Ayam Boiler;ekor;36940;;;;;;
08/01/2018;Ikan Kembung;Kg;35360;;;;;;
08/01/2018;Bawang Putih Impor (Kating);Kg;28960;;;;;;
08/01/2018;Bawang Merah (Medium);Kg;27900;;;;;;
08/01/2018;Bawang Putih Impor (Honan);Kg;27500;;;;;;
08/01/2018;Telur Ayam Ras;Kg;26450;;;;;;
08/01/2018;Kacang Tanah;Kg;25700;;;;;;
08/01/2018;Kacang Hijau;Kg;23200;;;;;;
08/01/2018;Jagung Pipilan Kecil;Kg;15167;;;;;;
