TANGGAL,KOMODITI,HARGA
05/01/2018,Beras,11740
05/01/2018,Gula Pasir,13640
05/01/2018,Minyak Goreng Bimoli Botol,14040
05/01/2018,Minyak Goreng Curah,12200
05/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
05/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
05/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),102500
05/01/2018,Daging Sapi, Lokal, Daging, Tetelan,76667
05/01/2018,Daging Sapi, Impor, Beku,120000
05/01/2018,Daging Sapi, Lokal, Has Dalam,146667
05/01/2018,Ayam Boiler,36940
05/01/2018,Ayam Kampung,78825
05/01/2018,Telur Ayam Ras,26450
05/01/2018,Telur Ayam Kampung,2120
05/01/2018,Susu Kental Manis Kaleng Merk Bendera,11940
05/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
05/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
05/01/2018,Susu Bubuk Kaleng Merk Indomilk,42000
05/01/2018,Jagung Pipilan Kecil,15167
05/01/2018,Garam Beryodium Bata,3100
05/01/2018,Garam Beryodium Halus,11260
05/01/2018,Tepung Terigu Segitiga Biru,9610
05/01/2018,Kacang Kedelai Eks impor,12800
05/01/2018,Kacang Kedelai Lokal,3333
05/01/2018,Mie Instan Indomie Rasa Kari Ayam,2800
05/01/2018,Cabe Merah Keriting,42340
05/01/2018,Cabe Merah Besar,40260
05/01/2018,Cabe Rawit Merah,57340
05/01/2018,Cabe Rawit Hijau,40400
05/01/2018,Bawang Merah (Medium),27900
05/01/2018,Bawang Putih Impor (Kating),28960
05/01/2018,Bawang Putih Impor (Honan),27500
05/01/2018,Ikan Teri Asin,102000
05/01/2018,Ikan Kembung,35360
05/01/2018,Kacang Hijau,23200
05/01/2018,Kacang Tanah,25700
05/01/2018,Ketela Pohon,4960
08/01/2018,Beras,11740
08/01/2018,Gula Pasir,13640
08/01/2018,Minyak Goreng Bimoli Botol,13440
08/01/2018,Minyak Goreng Curah,12200
08/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
08/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
08/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),102500
08/01/2018,Daging Sapi, Lokal, Daging, Tetelan,76667
08/01/2018,Daging Sapi, Impor, Beku,120000
08/01/2018,Daging Sapi, Lokal, Has Dalam,146667
08/01/2018,Ayam Boiler,36940
08/01/2018,Ayam Kampung,77575
08/01/2018,Telur Ayam Ras,26450
08/01/2018,Telur Ayam Kampung,2120
08/01/2018,Susu Kental Manis Kaleng Merk Bendera,11940
08/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
08/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
08/01/2018,Susu Bubuk Kaleng Merk Indomilk,42000
08/01/2018,Jagung Pipilan Kecil,15167
08/01/2018,Garam Beryodium Bata,3120
08/01/2018,Garam Beryodium Halus,11460
08/01/2018,Tepung Terigu Segitiga Biru,9610
08/01/2018,Kacang Kedelai Eks impor,12800
08/01/2018,Kacang Kedelai Lokal,3333
08/01/2018,Mie Instan Indomie Rasa Kari Ayam,2400
08/01/2018,Cabe Merah Keriting,42340
08/01/2018,Cabe Merah Besar,40260
08/01/2018,Cabe Rawit Merah,57340
08/01/2018,Cabe Rawit Hijau,40400
08/01/2018,Bawang Merah (Medium),27900
08/01/2018,Bawang Putih Impor (Kating),28960
08/01/2018,Bawang Putih Impor (Honan),27500
08/01/2018,Ikan Teri Asin,102000
08/01/2018,Ikan Kembung,35360
08/01/2018,Kacang Hijau,23200
08/01/2018,Kacang Tanah,25700
08/01/2018,Ketela Pohon,4960
09/01/2018,Beras,11480
09/01/2018,Gula Pasir,13540
09/01/2018,Minyak Goreng Bimoli Botol,13400
09/01/2018,Minyak Goreng Curah,12625
09/01/2018,Daging Sapi, Lokal, Paha Belakang,117660
09/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),116667
09/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),95000
09/01/2018,Daging Sapi, Lokal, Daging, Tetelan,81667
09/01/2018,Daging Sapi, Impor, Beku,120000
09/01/2018,Daging Sapi, Lokal, Has Dalam,143333
09/01/2018,Ayam Boiler,37300
09/01/2018,Ayam Kampung,82100
09/01/2018,Telur Ayam Ras,26260
09/01/2018,Telur Ayam Kampung,2110
09/01/2018,Susu Kental Manis Kaleng Merk Bendera,11960
09/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10440
09/01/2018,Susu Bubuk Kaleng Merk Bendera,44167
09/01/2018,Susu Bubuk Kaleng Merk Indomilk,42500
09/01/2018,Jagung Pipilan Kecil,15167
09/01/2018,Garam Beryodium Bata,3520
09/01/2018,Garam Beryodium Halus,12300
09/01/2018,Tepung Terigu Segitiga Biru,9840
09/01/2018,Kacang Kedelai Eks impor,12175
09/01/2018,Kacang Kedelai Lokal,3667
09/01/2018,Mie Instan Indomie Rasa Kari Ayam,2320
09/01/2018,Cabe Merah Keriting,38600
09/01/2018,Cabe Merah Besar,39340
09/01/2018,Cabe Rawit Merah,54340
09/01/2018,Cabe Rawit Hijau,38440
09/01/2018,Bawang Merah (Medium),28100
09/01/2018,Bawang Putih Impor (Kating),28340
09/01/2018,Bawang Putih Impor (Honan),28500
09/01/2018,Ikan Teri Asin,105200
09/01/2018,Ikan Kembung,36660
09/01/2018,Kacang Hijau,23340
09/01/2018,Kacang Tanah,26300
09/01/2018,Ketela Pohon,4900
10/01/2018,Beras,11620
10/01/2018,Gula Pasir,13600
10/01/2018,Minyak Goreng Bimoli Botol,13640
10/01/2018,Minyak Goreng Curah,12300
10/01/2018,Daging Sapi, Lokal, Paha Belakang,118660
10/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
10/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),98333
10/01/2018,Daging Sapi, Lokal, Daging, Tetelan,65833
10/01/2018,Daging Sapi, Impor, Beku,120000
10/01/2018,Daging Sapi, Lokal, Has Dalam,143333
10/01/2018,Ayam Boiler,36260
10/01/2018,Ayam Kampung,84000
10/01/2018,Telur Ayam Ras,26000
10/01/2018,Telur Ayam Kampung,2160
10/01/2018,Susu Kental Manis Kaleng Merk Bendera,12060
10/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
10/01/2018,Susu Bubuk Kaleng Merk Bendera,44167
10/01/2018,Susu Bubuk Kaleng Merk Indomilk,42400
10/01/2018,Jagung Pipilan Kecil,15167
10/01/2018,Garam Beryodium Bata,3720
10/01/2018,Garam Beryodium Halus,12660
10/01/2018,Tepung Terigu Segitiga Biru,9900
10/01/2018,Kacang Kedelai Eks impor,12375
10/01/2018,Kacang Kedelai Lokal,3667
10/01/2018,Mie Instan Indomie Rasa Kari Ayam,2360
10/01/2018,Cabe Merah Keriting,42860
10/01/2018,Cabe Merah Besar,40040
10/01/2018,Cabe Rawit Merah,48660
10/01/2018,Cabe Rawit Hijau,35540
10/01/2018,Bawang Merah (Medium),28040
10/01/2018,Bawang Putih Impor (Kating),27140
10/01/2018,Bawang Putih Impor (Honan),28500
10/01/2018,Ikan Teri Asin,100660
10/01/2018,Ikan Kembung,37660
10/01/2018,Kacang Hijau,23340
10/01/2018,Kacang Tanah,25600
10/01/2018,Ketela Pohon,4800
11/01/2018,Beras,11620
11/01/2018,Gula Pasir,13600
11/01/2018,Minyak Goreng Bimoli Botol,13340
11/01/2018,Minyak Goreng Curah,12363
11/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
11/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
11/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),101667
11/01/2018,Daging Sapi, Lokal, Daging, Tetelan,70000
11/01/2018,Daging Sapi, Impor, Beku,120000
11/01/2018,Daging Sapi, Lokal, Has Dalam,143333
11/01/2018,Ayam Boiler,38260
11/01/2018,Ayam Kampung,79250
11/01/2018,Telur Ayam Ras,25900
11/01/2018,Telur Ayam Kampung,2110
11/01/2018,Susu Kental Manis Kaleng Merk Bendera,11660
11/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10300
11/01/2018,Susu Bubuk Kaleng Merk Bendera,44167
